dev_id,dev_name
018c988a-f6e0-4c39-9ac2-241980294b55,GaGa Games Studio
018ccb22-616d-4397-b3a3-6167e99045e1,Felix Laplante
018d906e-9837-4a45-afa9-590c079dc030,LunaSoft
018e001c-67d8-4cc0-a73c-58c48b291aa5,Retrover Games
0191779c-ffc2-4f02-8ee3-0932f0e34b16,STWM
0191ffad-8d7a-441e-86cd-825acb1abc25,Rocky Studio
019377b7-0db3-4ab9-934e-2d54a2eafc02,Mobile Technologies LLC
0193d3e3-1fef-47db-b3c3-f2e475ddd411,Alexander Rann
01944422-8789-41b7-9108-4bb3330c240f,Steven Taylor
0195c67c-c547-47c6-a6a6-af4af2642042,For Loop Games
0197801f-e40c-4aa2-80cc-b36c2415cfe2,Tristan Orton-Urbina
01987b39-7f21-46eb-8238-02174d4981aa,Luke Palmer
019a1536-27ef-468f-97ae-9188d16be90d,Dr.Liao
019a47d9-9940-4117-85b5-af4baff32d8c,Y-Square Games G.K.
019aaba6-278b-4e11-b0e4-156c40ed051e,How's Your English
019d0d4a-091c-4e0d-9c68-d5c9286292da,William Hancock
019db3aa-8cb4-4f49-98a2-ad11f8d24a30,Eric Ferrot
019e0177-3054-4242-87d4-cb6dcde7dd1d,Metamorf
01a030cc-acf0-4a35-a03a-33c5d4344404,Argentum Online Forever
01a133b3-0898-4e5d-8590-f8edd1ff854a,Daev Finn Studio
01a21396-c4ce-46a7-b5b9-ecfd2458dc84,14 Dimension Enterprise
01a28bc4-47df-4fbd-9a01-132ea2bdb3be,Comico Games
01a391a2-f9de-4e61-a320-31e92839ea33,iDEACLOUD inc.
01a40140-6ee3-436f-b802-72273b40627e,4XPet
01a4a937-2a4f-4fe6-8a62-fc7acd77abc0,Les Kalifas
01a7c2f1-eeb4-4a62-b09f-e6c362b90a76,Royal Polygon
01a9f9c6-fcb5-4335-8164-ad2a13dde9e5,WildOmul
